file_id,check1,check2,cause,overhead,total,condition,satisfaction,frequency,age,nationality,gender,comment
19,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",4,1,5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,6,50,American,"{""gender"":""Female""}","{""Q0"":""""}"
20,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,2,31,American,"{""gender"":""Male""}","{""Q0"":""""}"
21,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",2,1,3,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",4,4,29,american,"{""gender"":""Female""}","{""Q0"":""""}"
22,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",2,2,42,American,"{""gender"":""Female""}","{""Q0"":""n/a""}"
23,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,0,41,American,"{""gender"":""Male""}","{""Q0"":""""}"
24,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",2,0,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,5,54,America,"{""gender"":""Male""}","{""Q0"":""""}"
25,"{""chance_response"":""20%""}","{""donation_use_response"":""To support an advertised cause""}",0.2,0.1,0.3,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,4,26,American,"{""gender"":""Female""}","{""Q0"":""""}"
26,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,0,32,American,"{""gender"":""Male""}","{""Q0"":""""}"
27,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",3,2,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,3,26,AmericanIranian,"{""gender"":""Female""}","{""Q0"":""""}"
28,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",4,1,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,2,37,American,"{""gender"":""Male""}","{""Q0"":""""}"
29,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",3,1,4,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,0,31,American,"{""gender"":""Female""}","{""Q0"":""""}"
30,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,1,34,American,"{""gender"":""Male""}","{""Q0"":""""}"
31,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,6,49,American,"{""gender"":""Female""}","{""Q0"":""None""}"
32,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",3,2,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,4,27,American,"{""gender"":""Female""}","{""Q0"":""""}"
33,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,2,33,American,"{""gender"":""Male""}","{""Q0"":""""}"
34,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,3,30,American,"{""gender"":""Non-binary""}","{""Q0"":""""}"
35,"{""chance_response"":""20%""}","{""donation_use_response"":""None of the above""}",4,1,5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,6,42,American,"{""gender"":""Male""}","{""Q0"":""""}"
36,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",0.45,0.35,0.8,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",3,2,51,American,"{""gender"":""Female""}","{""Q0"":""""}"
37,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",2,0,35,american,"{""gender"":""Female""}","{""Q0"":""Im to broke to donate money at the time""}"
38,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,2,20,Mexican,"{""gender"":""Male""}","{""Q0"":""""}"
39,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",3,2,5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,4,26,American,"{""gender"":""Female""}","{""Q0"":""""}"
40,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",2,3,37,American,"{""gender"":""Female""}","{""Q0"":""N/A""}"
41,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,4,28,American,"{""gender"":""Male""}","{""Q0"":""""}"
42,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",5,0,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,6,34,american,"{""gender"":""Male""}","{""Q0"":""n/a""}"
43,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",3,2,36,American,"{""gender"":""Male""}","{""Q0"":""""}"
44,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",0,4,65,American,"{""gender"":""Female""}","{""Q0"":""""}"
45,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",3,2,5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,3,30,American,"{""gender"":""Female""}","{""Q0"":""""}"
46,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,1,23,American,"{""gender"":""Female""}","{""Q0"":""""}"
47,"{""chance_response"":""10%""}","{""donation_use_response"":""None of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",1,0,25,American,"{""gender"":""Male""}","{""Q0"":""""}"
48,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0.5,0.5,1,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",3,3,33,American,"{""gender"":""Female""}","{""Q0"":""""}"
49,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,5,54,America,"{""gender"":""Female""}","{""Q0"":""""}"
50,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",4,3,29,American,"{""gender"":""Female""}","{""Q0"":""""}"
51,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0.2,0.1,0.3,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,6,27,American,"{""gender"":""Male""}","{""Q0"":""I try to donate mostly to environmental causes and if that had been the charity selected I would have opted to donate more.""}"
52,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",2.5,2.5,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,3,39,American,"{""gender"":""Female""}","{""Q0"":""""}"
53,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,2,34,white,"{""gender"":""Female""}","{""Q0"":""""}"
54,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,6,56,American,"{""gender"":""Male""}","{""Q0"":""""}"
55,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",4,2,42,American,"{""gender"":""Male""}","{""Q0"":""you misspelled receive""}"
56,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,0.5,1.5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",3,2,37,American,"{""gender"":""Female""}","{""Q0"":""""}"
57,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1.5,1,2.5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,3,30,American,"{""gender"":""Male""}","{""Q0"":""""}"
58,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",3,2,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,3,22,American,"{""gender"":""Male""}","{""Q0"":""""}"
59,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,3,41,American,"{""gender"":""Female""}","{""Q0"":""""}"
60,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",3,0,3,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,3,32,American,"{""gender"":""Male""}","{""Q0"":""fun ""}"
61,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0.25,0.25,0.5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,2,36,American,"{""gender"":""Male""}","{""Q0"":""""}"
62,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",2.5,2.5,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,4,28,American,"{""gender"":""Male""}","{""Q0"":""""}"
63,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,5,33,American,"{""gender"":""Male""}","{""Q0"":""""}"
64,"{""chance_response"":""20%""}","{""donation_use_response"":""To support an advertised cause""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,4,58,White,"{""gender"":""Female""}","{""Q0"":""no""}"
65,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,2,29,American,"{""gender"":""Male""}","{""Q0"":""""}"
66,"{""chance_response"":""50%""}","{""donation_use_response"":""All of the above""}",1.25,1.25,2.5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,2,22,American,"{""gender"":""Female""}","{""Q0"":""""}"
67,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",4,4,65,American,"{""gender"":""Female""}","{""Q0"":""""}"
68,"{""chance_response"":""20%""}","{""donation_use_response"":""None of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,1,40,American,"{""gender"":""Male""}","{""Q0"":""I have no additional comments ""}"
69,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",2,2,4,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",0,0,78,American,"{""gender"":""Female""}","{""Q0"":""""}"
70,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",4,3,44,American,"{""gender"":""Female""}","{""Q0"":""""}"
71,"{""chance_response"":""20%""}","{""donation_use_response"":""To maintain their necessary expenses""}",0.5,0.5,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,3,52,USCitizen,"{""gender"":""Female""}","{""Q0"":""I don't have any additonal comments at this time. ""}"
72,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,2,39,American,"{""gender"":""Female""}","{""Q0"":""""}"
73,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",2.5,2.5,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,6,41,American,"{""gender"":""Male""}","{""Q0"":""no.""}"
74,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",2,0,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",4,2,33,American,"{""gender"":""Non-binary""}","{""Q0"":""""}"
75,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,4,34,USA,"{""gender"":""Female""}","{""Q0"":""""}"
76,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,5,53,American,"{""gender"":""Male""}","{""Q0"":""""}"
77,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",3,1,25,American,"{""gender"":""Male""}","{""Q0"":""""}"
78,"{""chance_response"":""50%""}","{""donation_use_response"":""All of the above""}",0,5,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,6,33,American,"{""gender"":""Female""}","{""Q0"":""""}"
79,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,0,35,American,"{""gender"":""Male""}","{""Q0"":""None""}"
80,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,5,30,American,"{""gender"":""Male""}","{""Q0"":""""}"
81,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0.5,0,0.5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,3,42,American,"{""gender"":""Male""}","{""Q0"":""I've seen firsthand how reputable non-profit organizations misspend massive amounts of money on \""overhead\"".""}"
82,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",0,1,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,4,39,American,"{""gender"":""Male""}","{""Q0"":""""}"
83,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",3,1,28,American,"{""gender"":""Male""}","{""Q0"":""n/a""}"
84,"{""chance_response"":""50%""}","{""donation_use_response"":""All of the above""}",2,0.5,2.5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,4,52,American,"{""gender"":""Female""}","{""Q0"":""""}"
85,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,1,31,American,"{""gender"":""Male""}","{""Q0"":""None""}"
86,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",2,1,3,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,1,45,American,"{""gender"":""Male""}","{""Q0"":""""}"
87,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,0,20,American,"{""gender"":""Male""}","{""Q0"":""""}"
88,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,5,28,American,"{""gender"":""Female""}","{""Q0"":""""}"
89,"{""chance_response"":""20%""}","{""donation_use_response"":""To support an advertised cause""}",4,1,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,6,50,American,"{""gender"":""Male""}","{""Q0"":""""}"
90,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,6,46,American,"{""gender"":""Male""}","{""Q0"":""""}"
91,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,2,59,American,"{""gender"":""Female""}","{""Q0"":""There was no option in the first question to put 0 towards the donation. The least amount was 10%""}"
92,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,4,42,American,"{""gender"":""Female""}","{""Q0"":""""}"
93,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,2,44,American,"{""gender"":""Male""}","{""Q0"":""""}"
94,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,0,43,american,"{""gender"":""Male""}","{""Q0"":""nope""}"
95,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,2,39,american,"{""gender"":""Male""}","{""Q0"":""""}"
96,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,6,46,USA,"{""gender"":""Female""}","{""Q0"":""none""}"
97,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",3,2,5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,4,32,American,"{""gender"":""Male""}","{""Q0"":""""}"
98,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,0,34,American,"{""gender"":""Female""}","{""Q0"":""""}"
99,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",3,2,5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,3,36,American,"{""gender"":""Male""}","{""Q0"":""""}"
100,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",3,2,61,American,"{""gender"":""Female""}","{""Q0"":""""}"
101,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",2.5,2.5,5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,6,46,American,"{""gender"":""Female""}","{""Q0"":""none, thanks""}"
102,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,4,33,American,"{""gender"":""Male""}","{""Q0"":""""}"
103,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",0.5,0.5,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",4,4,51,American,"{""gender"":""Female""}","{""Q0"":""Thank you!""}"
104,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",3,2,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,4,51,American,"{""gender"":""Female""}","{""Q0"":""""}"
105,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,1,35,American,"{""gender"":""Male""}","{""Q0"":""""}"
106,"{""chance_response"":""20%""}","{""donation_use_response"":""To support an advertised cause""}",1,0,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,2,40,american,"{""gender"":""Female""}","{""Q0"":""""}"
107,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",2,2,4,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",4,3,42,American,"{""gender"":""Male""}","{""Q0"":""""}"
108,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0.25,0.25,0.5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",4,1,29,American,"{""gender"":""Female""}","{""Q0"":""""}"
109,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,1,29,American,"{""gender"":""Male""}","{""Q0"":""""}"
110,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,4,38,American,"{""gender"":""Female""}","{""Q0"":""""}"
111,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",2,5,37,American,"{""gender"":""Female""}","{""Q0"":""Although I chose not to donate to this charity, I do often donate to charities that I can select myself""}"
112,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",0.5,0,0.5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,2,35,American,"{""gender"":""Female""}","{""Q0"":""""}"
113,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",2,2,4,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",4,0,27,American,"{""gender"":""Female""}","{""Q0"":""""}"
114,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,4,57,American,"{""gender"":""Female""}","{""Q0"":""NA""}"
115,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,5,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,1,34,American,"{""gender"":""Female""}","{""Q0"":""""}"
116,"{""chance_response"":""20%""}","{""donation_use_response"":""To support an advertised cause""}",1,0,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",4,4,33,American,"{""gender"":""Male""}","{""Q0"":""N/A""}"
117,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",4,4,30,American,"{""gender"":""Female""}","{""Q0"":""Have a great day""}"
118,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,0,46,American,"{""gender"":""Male""}","{""Q0"":""""}"
119,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",4.5,0.5,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,2,32,American,"{""gender"":""Male""}","{""Q0"":""n/a""}"
120,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,1,26,American,"{""gender"":""Male""}","{""Q0"":""""}"
121,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",4,1,5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,2,32,American,"{""gender"":""Male""}","{""Q0"":""""}"
122,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",3,1,22,American,"{""gender"":""Female""}","{""Q0"":""""}"
123,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,3,43,American,"{""gender"":""Female""}","{""Q0"":""""}"
124,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",5,5,64,american,"{""gender"":""Female""}","{""Q0"":""""}"
